ITEM_ID,ITEM_DESCR,EATWELL_CAT,WEIGHT_GR,YIELD_FACTOR,FOOD_DRINK,kcal_adj,portion_adj,Fruit_veg_nut_adj,Protein_adj,Fibre_aoac_adj,Sodium_adj,Sugar_adj,Satfat_adj,Kj_adj,Energy_p,Satfat_p,Sugar_p,Sodium_p,Fruit_veg_nut_p,Fibre_p,Protein_p,A_points,C_points,FSA_score,FSA_category,edible_mass,edible_portion,pp_100g_20131,pp_100g_20132,pp_100g_20133,pp_100g_20134,pp_100g_20141,pp_100g_20142,pp_100g_20143,pp_100g_20144,pp_100g_20151,pp_100g_20152,pp_100g_20153,pp_100g_20154,pp_100g_20161,pp_100g_20162,pp_100g_20163,pp_100g_20164,pp_100g_20171,pp_100g_20172,pp_100g_20173,pp_100g_20174,pp_100g_20181,pp_100g_20182,pp_100g_20183,pp_100g_20184,pp_100g_20191,pp_100g_20192,pp_100g_20193,pp_100g_20194,pp_100g_20201,pp_100g_20202,pp_100g_20203,pp_100g_20204,pp_100g_20211,pp_100g_20212,pp_100g_20213,pp_100g_20214,pp_100g_20221,pp_100g_20222,pp_100g_20223,pp_100g_20224,pp_100g_20231,pp_100kcal_20131,pp_100kcal_20132,pp_100kcal_20133,pp_100kcal_20134,pp_100kcal_20141,pp_100kcal_20142,pp_100kcal_20143,pp_100kcal_20144,pp_100kcal_20151,pp_100kcal_20152,pp_100kcal_20153,pp_100kcal_20154,pp_100kcal_20161,pp_100kcal_20162,pp_100kcal_20163,pp_100kcal_20164,pp_100kcal_20171,pp_100kcal_20172,pp_100kcal_20173,pp_100kcal_20174,pp_100kcal_20181,pp_100kcal_20182,pp_100kcal_20183,pp_100kcal_20184,pp_100kcal_20191,pp_100kcal_20192,pp_100kcal_20193,pp_100kcal_20194,pp_100kcal_20201,pp_100kcal_20202,pp_100kcal_20203,pp_100kcal_20204,pp_100kcal_20211,pp_100kcal_20212,pp_100kcal_20213,pp_100kcal_20214,pp_100kcal_20221,pp_100kcal_20222,pp_100kcal_20223,pp_100kcal_20224,pp_100kcal_20231,pp_portion_20131,pp_portion_20132,pp_portion_20133,pp_portion_20134,pp_portion_20141,pp_portion_20142,pp_portion_20143,pp_portion_20144,pp_portion_20151,pp_portion_20152,pp_portion_20153,pp_portion_20154,pp_portion_20161,pp_portion_20162,pp_portion_20163,pp_portion_20164,pp_portion_20171,pp_portion_20172,pp_portion_20173,pp_portion_20174,pp_portion_20181,pp_portion_20182,pp_portion_20183,pp_portion_20184,pp_portion_20191,pp_portion_20192,pp_portion_20193,pp_portion_20194,pp_portion_20201,pp_portion_20202,pp_portion_20203,pp_portion_20204,pp_portion_20211,pp_portion_20212,pp_portion_20213,pp_portion_20214,pp_portion_20221,pp_portion_20222,pp_portion_20223,pp_portion_20224,pp_portion_20231
210102,LARGE LOAF-WHITE-UNSLICED-800G,"Bread, rice, potatoes, pasta",800,1,food,261.9465324,67.87094666,0,9.219876017,2.740449438,435.0608291,3.850678032,0.503870593,1095.984291,3,0,0,4,0,2,5,7,7,0,More healthy,800,67.87094666,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.16125,0.13625,0.13625,0.13625,0.13625,0.13625,0.13625,0.13625,0.1375,0.13625,0.1375,0.1375,0.1375,0.1375,0.15,0.15,0.15,0.1375,0.1375,0.1375,0.1375,0.1375,0.1375,0.1375,0.1375,0.14375,0.14375,0.14375,0.15,0.15625,0.1625,0.175,0.062035561,0.062035561,0.062035561,0.062035561,0.062035561,0.062035561,0.062035561,0.062035561,0.062035561,0.061558364,0.052014432,0.052014432,0.052014432,0.052014432,0.052014432,0.052014432,0.052014432,0.052491628,0.052014432,0.052491628,0.052491628,0.052491628,0.052491628,0.057263594,0.057263594,0.057263594,0.052491628,0.052491628,0.052491628,0.052491628,0.052491628,0.052491628,0.052491628,0.052491628,0.054877611,0.054877611,0.054877611,0.057263594,0.059649578,0.062035561,0.066807527,0.110290288,0.110290288,0.110290288,0.110290288,0.110290288,0.110290288,0.110290288,0.110290288,0.110290288,0.109441901,0.092474165,0.092474165,0.092474165,0.092474165,0.092474165,0.092474165,0.092474165,0.093322552,0.092474165,0.093322552,0.093322552,0.093322552,0.093322552,0.10180642,0.10180642,0.10180642,0.093322552,0.093322552,0.093322552,0.093322552,0.093322552,0.093322552,0.093322552,0.093322552,0.097564486,0.097564486,0.097564486,0.10180642,0.106048354,0.110290288,0.118774157
210106,SIX BREAD ROLLS-WHITE/BROWN   ,"Bread, rice, potatoes, pasta",330,1,food,241,68.25,0,9.3,3.3,430,2.6,0.7,1008.344,3,0,0,4,0,3,5,7,8,-1,More healthy,330,68.25,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.266666667,0.272727273,0.272727273,0.265151515,0.257575758,0.257575758,0.23030303,0.23030303,0.23030303,0.23030303,0.23030303,0.23030303,0.23030303,0.242424242,0.242424242,0.242424242,0.23030303,0.23030303,0.227272727,0.227272727,0.227272727,0.242424242,0.257575758,0.287878788,0.287878788,0.303030303,0.303030303,0.303030303,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.113164843,0.110650069,0.113164843,0.113164843,0.110021376,0.106877908,0.106877908,0.095561423,0.095561423,0.095561423,0.095561423,0.095561423,0.095561423,0.095561423,0.100590972,0.100590972,0.100590972,0.095561423,0.095561423,0.094304036,0.094304036,0.094304036,0.100590972,0.106877908,0.119451779,0.119451779,0.125738715,0.125738715,0.125738715,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.186136364,0.182,0.186136364,0.186136364,0.180965909,0.175795455,0.175795455,0.157181818,0.157181818,0.157181818,0.157181818,0.157181818,0.157181818,0.157181818,0.165454545,0.165454545,0.165454545,0.157181818,0.157181818,0.155113636,0.155113636,0.155113636,0.165454545,0.175795455,0.196477273,0.196477273,0.206818182,0.206818182,0.206818182
210111,WHITE SLICED LOAF BRANDED 750G,"Bread, rice, potatoes, pasta",750,1,food,261.9465324,67.87094666,0,9.219876017,2.740449438,435.0608291,3.850678032,0.503870593,1095.984291,3,0,0,4,0,2,5,7,7,0,More healthy,750,67.87094666,0.18,0.18,0.18,0.173333333,0.173333333,0.173333333,0.173333333,0.173333333,0.153333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.146666667,0.146666667,0.14,0.133333333,0.133333333,0.136666667,0.146666667,0.146666667,0.146666667,0.146666667,0.146666667,0.153333333,0.166666667,0.173333333,0.186666667,0.068716313,0.068716313,0.068716313,0.066171265,0.066171265,0.066171265,0.066171265,0.066171265,0.058536119,0.050900973,0.050900973,0.050900973,0.050900973,0.050900973,0.050900973,0.050900973,0.050900973,0.050900973,0.050900973,0.053446022,0.053446022,0.053446022,0.053446022,0.053446022,0.053446022,0.053446022,0.05599107,0.05599107,0.053446022,0.050900973,0.050900973,0.052173497,0.05599107,0.05599107,0.05599107,0.05599107,0.05599107,0.058536119,0.063626216,0.066171265,0.071261362,0.122167704,0.122167704,0.122167704,0.117642974,0.117642974,0.117642974,0.117642974,0.117642974,0.104068785,0.090494596,0.090494596,0.090494596,0.090494596,0.090494596,0.090494596,0.090494596,0.090494596,0.090494596,0.090494596,0.095019325,0.095019325,0.095019325,0.095019325,0.095019325,0.095019325,0.095019325,0.099544055,0.099544055,0.095019325,0.090494596,0.090494596,0.09275696,0.099544055,0.099544055,0.099544055,0.099544055,0.099544055,0.104068785,0.113118244,0.117642974,0.126692434
210113,WHOLEMEAL SLICED LOAF BRANDED ,"Bread, rice, potatoes, pasta",800,1,food,245.7438634,64.41018143,0,11.15101387,7.527641409,425.9551761,4.151760939,0.659573106,1028.192324,3,0,0,4,0,5,5,7,10,-3,More healthy,800,64.41018143,0.16875,0.16875,0.16875,0.16875,0.16875,0.16875,0.1625,0.13125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.13125,0.13125,0.13125,0.13125,0.13125,0.13125,0.13125,0.13125,0.1375,0.1375,0.1375,0.125,0.125,0.1375,0.1375,0.1375,0.125,0.12375,0.13125,0.1375,0.15,0.16875,0.18125,0.06866906,0.06866906,0.06866906,0.06866906,0.06866906,0.06866906,0.066125761,0.053409269,0.05086597,0.05086597,0.05086597,0.05086597,0.05086597,0.05086597,0.05086597,0.05086597,0.05086597,0.05086597,0.053409269,0.053409269,0.053409269,0.053409269,0.053409269,0.053409269,0.053409269,0.053409269,0.055952567,0.055952567,0.055952567,0.05086597,0.05086597,0.055952567,0.055952567,0.055952567,0.05086597,0.05035731,0.053409269,0.055952567,0.061039164,0.06866906,0.073755657,0.108692181,0.108692181,0.108692181,0.108692181,0.108692181,0.108692181,0.104666545,0.084538363,0.080512727,0.080512727,0.080512727,0.080512727,0.080512727,0.080512727,0.080512727,0.080512727,0.080512727,0.080512727,0.084538363,0.084538363,0.084538363,0.084538363,0.084538363,0.084538363,0.084538363,0.084538363,0.088563999,0.088563999,0.088563999,0.080512727,0.080512727,0.088563999,0.088563999,0.088563999,0.080512727,0.0797076,0.084538363,0.088563999,0.096615272,0.108692181,0.116743454
210114,CHILLED GARLIC BREAD          ,"Bread, rice, potatoes, pasta",210,1,food,344.1156069,41.75023121,2.494913295,7.14566474,2.7,343.6531792,2.80982659,8.204104046,1439.779699,4,8,0,3,0,2,0,15,6,9,Less healthy,210,41.75023121,0.371428571,0.347619048,0.380952381,0.380952381,0.357142857,0.371428571,0.357142857,0.357142857,0.357142857,0.380952381,0.380952381,0.371428571,0.380952381,0.380952381,0.380952381,0.380952381,0.380952381,0.380952381,0.380952381,0.380952381,0.404761905,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.442857143,0.428571429,0.452380952,0.452380952,0.469047619,0.476190476,0.476190476,0.107937148,0.1010181,0.110704767,0.110704767,0.103785719,0.107937148,0.103785719,0.103785719,0.103785719,0.110704767,0.110704767,0.107937148,0.110704767,0.110704767,0.110704767,0.110704767,0.110704767,0.110704767,0.110704767,0.110704767,0.117623815,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.124542863,0.128694292,0.124542863,0.131461911,0.131461911,0.136305244,0.138380959,0.138380959,0.155072287,0.145131756,0.1590485,0.1590485,0.149107969,0.155072287,0.149107969,0.149107969,0.149107969,0.1590485,0.1590485,0.155072287,0.1590485,0.1590485,0.1590485,0.1590485,0.1590485,0.1590485,0.1590485,0.1590485,0.168989031,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.178929562,0.184893881,0.178929562,0.188870094,0.188870094,0.195828465,0.198810625,0.198810625
210201,FLOUR-SELF-RAISING-1.5KG      ,"Bread, rice, potatoes, pasta",1500,1,food,344.3,13.736416,0,9.09,4.61,346.9,0.65,0.46,1440.5512,4,0,0,3,0,4,5,7,9,-2,More healthy,1500,13.736416,0.074,0.079333333,0.078666667,0.078666667,0.073333333,0.073333333,0.073333333,0.073333333,0.06,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.053333333,0.056666667,0.056666667,0.056666667,0.056666667,0.056666667,0.053333333,0.05,0.05,0.05,0.05,0.046666667,0.05,0.053333333,0.043333333,0.053333333,0.046666667,0.04,0.04,0.046666667,0.046666667,0.046666667,0.046666667,0.053333333,0.053333333,0.053333333,0.021492884,0.023041921,0.022848291,0.022848291,0.021299255,0.021299255,0.021299255,0.021299255,0.017426663,0.015490367,0.015490367,0.015490367,0.015490367,0.015490367,0.015490367,0.015490367,0.016458515,0.016458515,0.016458515,0.016458515,0.016458515,0.015490367,0.014522219,0.014522219,0.014522219,0.014522219,0.013554071,0.014522219,0.015490367,0.012585923,0.015490367,0.013554071,0.011617775,0.011617775,0.013554071,0.013554071,0.013554071,0.013554071,0.015490367,0.015490367,0.015490367,0.010164948,0.010897557,0.010805981,0.010805981,0.010073372,0.010073372,0.010073372,0.010073372,0.00824185,0.007326089,0.007326089,0.007326089,0.007326089,0.007326089,0.007326089,0.007326089,0.007783969,0.007783969,0.007783969,0.007783969,0.007783969,0.007326089,0.006868208,0.006868208,0.006868208,0.006868208,0.006410327,0.006868208,0.007326089,0.005952447,0.007326089,0.006410327,0.005494566,0.005494566,0.006410327,0.006410327,0.006410327,0.006410327,0.007326089,0.007326089,0.007326089
210204,DRY SPAGHETTI OR PASTA 500G   ,"Bread, rice, potatoes, pasta",500,2.45,food,140.8378906,125.8559068,0,4.490625,1.957226563,3.30078125,0.894140625,0.094628906,589.2657344,1,0,0,0,0,2,2,1,4,-3,More healthy,1225,308.3469716,0.07755102,0.07755102,0.07755102,0.07755102,0.07755102,0.07755102,0.080816327,0.080816327,0.07755102,0.07755102,0.069387755,0.07755102,0.069387755,0.069387755,0.069387755,0.069387755,0.069387755,0.069387755,0.069387755,0.069387755,0.069387755,0.048979592,0.048163265,0.048163265,0.048163265,0.048163265,0.048979592,0.049795918,0.051428571,0.051428571,0.051428571,0.047346939,0.047346939,0.047346939,0.048979592,0.060408163,0.06122449,0.073469388,0.07755102,0.07755102,0.07755102,0.055064031,0.055064031,0.055064031,0.055064031,0.055064031,0.055064031,0.057382517,0.057382517,0.055064031,0.055064031,0.049267818,0.055064031,0.049267818,0.049267818,0.049267818,0.049267818,0.049267818,0.049267818,0.049267818,0.049267818,0.049267818,0.034777283,0.034197662,0.034197662,0.034197662,0.034197662,0.034777283,0.035356904,0.036516147,0.036516147,0.036516147,0.03361804,0.03361804,0.03361804,0.034777283,0.042891982,0.043471604,0.052165925,0.055064031,0.055064031,0.055064031,0.239126223,0.239126223,0.239126223,0.239126223,0.239126223,0.239126223,0.249194695,0.249194695,0.239126223,0.239126223,0.213955042,0.239126223,0.213955042,0.213955042,0.213955042,0.213955042,0.213955042,0.213955042,0.213955042,0.213955042,0.213955042,0.151027088,0.14850997,0.14850997,0.14850997,0.14850997,0.151027088,0.153544206,0.158578443,0.158578443,0.158578443,0.145992852,0.145992852,0.145992852,0.151027088,0.186266742,0.18878386,0.226540632,0.239126223,0.239126223,0.239126223
210212,BASMATI RICE 500G-1KG         ,"Bread, rice, potatoes, pasta",750,1.84,food,351,173,0,8.1,1.1,1,0.1,0.14,1468.584,4,0,0,0,0,1,5,4,6,-2,More healthy,1380,318.32,0.113768116,0.107971014,0.107971014,0.107971014,0.100724638,0.107971014,0.107971014,0.097826087,0.097826087,0.097826087,0.097826087,0.107971014,0.097826087,0.097826087,0.097826087,0.097826087,0.097826087,0.100724638,0.100724638,0.100724638,0.100724638,0.107971014,0.107971014,0.108695652,0.108695652,0.108695652,0.111594203,0.111594203,0.108695652,0.144927536,0.119565217,0.115942029,0.115942029,0.115942029,0.115942029,0.115942029,0.123188406,0.134057971,0.134057971,0.144927536,0.144927536,0.032412569,0.030760973,0.030760973,0.030760973,0.028696478,0.030760973,0.030760973,0.02787068,0.02787068,0.02787068,0.02787068,0.030760973,0.02787068,0.02787068,0.02787068,0.02787068,0.02787068,0.028696478,0.028696478,0.028696478,0.028696478,0.030760973,0.030760973,0.030967422,0.030967422,0.030967422,0.03179322,0.03179322,0.030967422,0.041289896,0.034064164,0.033031917,0.033031917,0.033031917,0.033031917,0.033031917,0.035096412,0.038193154,0.038193154,0.041289896,0.041289896,0.362146667,0.343693333,0.343693333,0.343693333,0.320626667,0.343693333,0.343693333,0.3114,0.3114,0.3114,0.3114,0.343693333,0.3114,0.3114,0.3114,0.3114,0.3114,0.320626667,0.320626667,0.320626667,0.320626667,0.343693333,0.343693333,0.346,0.346,0.346,0.355226667,0.355226667,0.346,0.461333333,0.3806,0.369066667,0.369066667,0.369066667,0.369066667,0.369066667,0.392133333,0.426733333,0.426733333,0.461333333,0.461333333
210213,BREAKFAST CEREAL 1            ,Food & drinks high in fat and/or sugar,375,1,food,393.976431,30.39807333,5.085914703,7.979012346,6.098877666,155.5970819,22.31279461,2.715375982,1648.397387,4,2,4,1,0,5,0,11,9,2,More healthy,375,30.39807333,0.584,0.610666667,0.610666667,0.610666667,0.610666667,0.6,0.6,0.610666667,0.610666667,0.610666667,0.557333333,0.610666667,0.610666667,0.584,0.610666667,0.610666667,0.610666667,0.610666667,0.612,0.62,0.613333333,0.613333333,0.613333333,0.690666667,0.690666667,0.690666667,0.770666667,0.770666667,0.746666667,0.666666667,0.770666667,0.773333333,0.770666667,0.770666667,0.746666667,0.693333333,0.666666667,0.666666667,0.8,0.8,0.8,0.148232217,0.155000812,0.155000812,0.155000812,0.155000812,0.152293374,0.152293374,0.155000812,0.155000812,0.155000812,0.141463623,0.155000812,0.155000812,0.148232217,0.155000812,0.155000812,0.155000812,0.155000812,0.155339242,0.15736982,0.155677671,0.155677671,0.155677671,0.175306595,0.175306595,0.175306595,0.195612378,0.195612378,0.189520643,0.16921486,0.195612378,0.196289238,0.195612378,0.195612378,0.189520643,0.175983455,0.16921486,0.16921486,0.203057832,0.203057832,0.203057832,0.177524748,0.185630901,0.185630901,0.185630901,0.185630901,0.18238844,0.18238844,0.185630901,0.185630901,0.185630901,0.169418595,0.185630901,0.185630901,0.177524748,0.185630901,0.185630901,0.185630901,0.185630901,0.186036209,0.188468055,0.186441516,0.186441516,0.186441516,0.20994936,0.20994936,0.20994936,0.234267818,0.234267818,0.226972281,0.202653822,0.234267818,0.235078434,0.234267818,0.234267818,0.226972281,0.210759975,0.202653822,0.202653822,0.243184587,0.243184587,0.243184587
210214,BREAKFAST CEREAL 2            ,Food & drinks high in fat and/or sugar,320,1,food,393.976431,30.39807333,5.085914703,7.979012346,6.098877666,155.5970819,22.31279461,2.715375982,1648.397387,4,2,4,1,0,5,0,11,9,2,More healthy,320,30.39807333,0.621875,0.65,0.653125,0.653125,0.653125,0.625,0.609375,0.609375,0.59375,0.590625,0.609375,0.609375,0.6015625,0.590625,0.60625,0.60625,0.546875,0.5625,0.546875,0.5625,0.5625,0.5625,0.546875,0.5625,0.5625,0.5625,0.590625,0.590625,0.59375,0.59375,0.59375,0.59375,0.625,0.59375,0.59375,0.59375,0.625,0.65625,0.6875,0.765625,0.78125,0.157845737,0.164984489,0.165777683,0.165777683,0.165777683,0.158638931,0.154672958,0.154672958,0.150706985,0.14991379,0.154672958,0.154672958,0.152689971,0.14991379,0.153879763,0.153879763,0.138809065,0.142775038,0.138809065,0.142775038,0.142775038,0.142775038,0.138809065,0.142775038,0.142775038,0.142775038,0.14991379,0.14991379,0.150706985,0.150706985,0.150706985,0.150706985,0.158638931,0.150706985,0.150706985,0.150706985,0.158638931,0.166570878,0.174502825,0.194332691,0.198298664,0.189038018,0.197587477,0.198537416,0.198537416,0.198537416,0.189987958,0.185238259,0.185238259,0.18048856,0.179538621,0.185238259,0.185238259,0.18286341,0.179538621,0.18428832,0.18428832,0.166239464,0.170989162,0.166239464,0.170989162,0.170989162,0.170989162,0.166239464,0.170989162,0.170989162,0.170989162,0.179538621,0.179538621,0.18048856,0.18048856,0.18048856,0.18048856,0.189987958,0.18048856,0.18048856,0.18048856,0.189987958,0.199487356,0.208986754,0.232735249,0.237484948
210215,CEREAL BAR                    ,Food & drinks high in fat and/or sugar,32,1,food,387.7166667,27.03828214,17.86054762,6.408333333,9.773809524,144.297619,28.55904762,4.240690476,1622.206533,4,4,6,1,0,5,0,15,9,6,Less healthy,32,27.03828214,1.15625,1.25,1.25,1.25,1.15625,1.25,1.15625,1.125,1.03125,1.03125,1.03125,1.15625,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,0.8125,1.03125,1.03125,0.78125,0.78125,0.8125,0.9375,0.78125,0.78125,0.96875,0.90625,0.29822035,0.322400378,0.322400378,0.322400378,0.29822035,0.322400378,0.29822035,0.29016034,0.265980312,0.265980312,0.265980312,0.29822035,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.265980312,0.209560246,0.265980312,0.265980312,0.201500236,0.201500236,0.209560246,0.241800284,0.201500236,0.201500236,0.249860293,0.233740274,0.312630137,0.337978527,0.337978527,0.337978527,0.312630137,0.337978527,0.312630137,0.304180674,0.278832285,0.278832285,0.278832285,0.312630137,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.278832285,0.219686042,0.278832285,0.278832285,0.211236579,0.211236579,0.219686042,0.253483895,0.211236579,0.211236579,0.261933358,0.245034432
210216,HOT OAT CEREAL                ,"Bread, rice, potatoes, pasta",270,1,food,364.1804511,30.69172932,2.332105263,10.44210526,8.151691729,12.65225564,8.932330827,1.161503759,1523.731008,4,1,1,0,0,5,5,6,10,-4,More healthy,270,30.69172932,0.733333333,0.737037037,0.696296296,0.737037037,0.737037037,0.737037037,0.737037037,0.662962963,0.662962963,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.592592593,0.592592593,0.592592593,0.740740741,0.740740741,0.733333333,0.740740741,0.740740741,0.740740741,0.740740741,0.733333333,0.733333333,0.733333333,0.733333333,0.740740741,0.777777778,0.796296296,0.851851852,0.201365376,0.202382372,0.191195407,0.202382372,0.202382372,0.202382372,0.202382372,0.182042436,0.182042436,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.203399369,0.162719495,0.162719495,0.162719495,0.203399369,0.203399369,0.201365376,0.203399369,0.203399369,0.203399369,0.203399369,0.201365376,0.201365376,0.201365376,0.201365376,0.203399369,0.213569338,0.218654322,0.233909275,0.225072682,0.226209412,0.213705375,0.226209412,0.226209412,0.226209412,0.226209412,0.203474798,0.203474798,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.227346143,0.181876915,0.181876915,0.181876915,0.227346143,0.227346143,0.225072682,0.227346143,0.227346143,0.227346143,0.227346143,0.225072682,0.225072682,0.225072682,0.225072682,0.227346143,0.23871345,0.244397104,0.261448065
210301,CREAM CRACKERS PACK 200G-300G ,Food & drinks high in fat and/or sugar,250,1,food,445,18.36666667,0,10,3.8,504,1.7,6.2,1861.88,5,6,0,5,0,4,0,16,9,7,Less healthy,250,18.36666667,0.372,0.372,0.38,0.372,0.372,0.372,0.372,0.372,0.356,0.356,0.356,0.372,0.38,0.38,0.356,0.356,0.356,0.38,0.356,0.38,0.38,0.38,0.388,0.38,0.38,0.38,0.4,0.4,0.4,0.4,0.4,0.4,0.476,0.4,0.4,0.4,0.44,0.4,0.5,0.5,0.52,0.083595506,0.083595506,0.085393258,0.083595506,0.083595506,0.083595506,0.083595506,0.083595506,0.08,0.08,0.08,0.083595506,0.085393258,0.085393258,0.08,0.08,0.08,0.085393258,0.08,0.085393258,0.085393258,0.085393258,0.087191011,0.085393258,0.085393258,0.085393258,0.08988764,0.08988764,0.08988764,0.08988764,0.08988764,0.08988764,0.106966292,0.08988764,0.08988764,0.08988764,0.098876404,0.08988764,0.112359551,0.112359551,0.116853933,0.068324,0.068324,0.069793333,0.068324,0.068324,0.068324,0.068324,0.068324,0.065385333,0.065385333,0.065385333,0.068324,0.069793333,0.069793333,0.065385333,0.065385333,0.065385333,0.069793333,0.065385333,0.069793333,0.069793333,0.069793333,0.071262667,0.069793333,0.069793333,0.069793333,0.073466667,0.073466667,0.073466667,0.073466667,0.073466667,0.073466667,0.087425333,0.073466667,0.073466667,0.073466667,0.080813333,0.073466667,0.091833333,0.091833333,0.095506667
210302,PLAIN BISCUITS-200-300G       ,Food & drinks high in fat and/or sugar,250,1,food,478.9415449,27.71592269,0,7.135281837,3.6,410.6263048,18.37077244,9.834655532,2003.891424,5,9,4,4,0,3,0,22,7,15,Less healthy,250,27.71592269,0.356,0.356,0.356,0.356,0.36,0.356,0.36,0.36,0.392,0.356,0.36,0.4,0.4,0.36,0.356,0.356,0.352,0.356,0.356,0.38,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.476,0.476,0.5,0.5,0.074330574,0.074330574,0.074330574,0.074330574,0.075165749,0.074330574,0.075165749,0.075165749,0.081847149,0.074330574,0.075165749,0.083517499,0.083517499,0.075165749,0.074330574,0.074330574,0.073495399,0.074330574,0.074330574,0.079341624,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.083517499,0.099385824,0.099385824,0.104396874,0.104396874,0.098668685,0.098668685,0.098668685,0.098668685,0.099777322,0.098668685,0.099777322,0.099777322,0.108646417,0.098668685,0.099777322,0.110863691,0.110863691,0.099777322,0.098668685,0.098668685,0.097560048,0.098668685,0.098668685,0.105320506,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.110863691,0.131927792,0.131927792,0.138579613,0.138579613
210320,WHOLE SPONGE CAKE NOT FROZEN  ,Food & drinks high in fat and/or sugar,340,1,food,388.2168675,43.61418032,2.366566265,5.325903614,1.203614458,226.2771084,38.82710843,5.546807229,1624.299373,4,5,8,2,0,1,0,19,4,15,Less healthy,340,43.61418032,0.308823529,0.294117647,0.308823529,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.294117647,0.320588235,0.351470588,0.441176471,0.367647059,0.367647059,0.367647059,0.35,0.35,0.35,0.367647059,0.397058824,0.526470588,0.544117647,0.544117647,0.35,0.35,0.469117647,0.635294118,0.588235294,0.588235294,0.661764706,0.726470588,0.776470588,0.838235294,0.07954923,0.075761172,0.07954923,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.075761172,0.082579677,0.0905346,0.113641757,0.094701464,0.094701464,0.094701464,0.090155794,0.090155794,0.090155794,0.094701464,0.102277582,0.135612497,0.140158167,0.140158167,0.090155794,0.090155794,0.120839069,0.163644131,0.151522343,0.151522343,0.170462636,0.187130094,0.200009493,0.215919339,0.134690851,0.128277001,0.134690851,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.128277001,0.139821931,0.153291016,0.192415501,0.160346251,0.160346251,0.160346251,0.152649631,0.152649631,0.152649631,0.160346251,0.173173951,0.229615832,0.237312452,0.237312452,0.152649631,0.152649631,0.204601817,0.277078322,0.256554002,0.256554002,0.288623252,0.316844192,0.338651282,0.365589453
